metric,mean,std,ci_low,ci_high,t_hac,pvalue
IC,0.01890746722872829,0.1523415951019019,0.008917397206605832,0.02888768347054437,2.0167209035692824,0.043724647229078255
Rank IC,0.014021765012542507,0.14541275663660558,0.003759528296568114,0.02322853377908526,1.6062394988599757,0.10822129781124218
Return Rank IC,0.01563603994235109,0.14775563963712002,0.005344031657516761,0.0252972215359441,1.752157576430716,0.07974671616983613
Score Rank IC,0.01563603994235109,0.14775563963712002,0.005344031657516761,0.0252972215359441,1.752157576430716,0.07974671616983613
Top-Bottom Spread,0.0023555486351304394,0.0225684817789889,0.0009185795553247114,0.00393930806422717,1.7852547774565097,0.07422000049431166
Top-K Precision,0.5094339622641508,0.1937772437391182,0.4969310141509434,0.5221727594339622,48.217117860647896,0.0
Direction Accuracy,0.3794038705282225,0.05034445621957872,0.3757898114431148,0.3825840286906336,147.763138049232,0.0
